Last Name,First Name,SID,Email Address,Section
Aemon,Maester,WXB12345,maester.aemon@project_school.edu,A
Arryn,Lysa,MXL12345,lysa.arryn@project_school.edu,A
Arryn,Robin,TXJ12345,robin.arryn@project_school.edu,B
Baelish,Petyr,JGF12345,petyr.baelish@project_school.edu,C
Banner,Bruce,PXE53402,bruce.banner@project_school.edu,E
Baratheon,Joffrey,SMJ00936,joffrey.baratheon@project_school.edu,E
Baratheon,Myrcella,RXS30280,myrcella.baratheon@project_school.edu,B
Baratheon,Renly,DMA58910,renly.baratheon@project_school.edu,C
Baratheon,Robert,HSW06874,robert.baratheon@project_school.edu,C
Baratheon,Shireen,BKR19538,shireen.baratheon@project_school.edu,B
Baratheon,Stannis,LXC64780,stannis.baratheon@project_school.edu,A
Baratheon,Tommen,RXP56459,tommen.baratheon@project_school.edu,C
Barnes,Bucky,MJG41514,bucky.barnes@project_school.edu,A
Barton,Clint,RCF61653,clint.barton@project_school.edu,E
Bolton,Ramsay,RXD29805,ramsay.bolton@project_school.edu,B
Bolton,Roose,ALW07647,roose.bolton@project_school.edu,D
Bolton,Walda,EDH14938,walda.bolton@project_school.edu,B
Carter,Peggy,BXR62103,peggy.carter@project_school.edu,C
Carver,Jakob,BXB28023,jakob.carver@project_school.edu,A
Cassel,Jory,RJB91830,jory.cassel@project_school.edu,C
Cassel,Rodrik,FXS77894,rodrik.cassel@project_school.edu,A
Cleftjaw,Dagmer,BDP78944,dagmer.cleftjaw@project_school.edu,C
Clegane,Gregor,SEM28474,gregor.clegane@project_school.edu,E
Clegane,Sandor,BJG14618,sandor.clegane@project_school.edu,E
Connors,Curt,PMJ37756,curt.connors@project_school.edu,C
Coulson,Phil,AXW80146,phil.coulson@project_school.edu,E
Crane,Lady,HXG56446,lady.crane@project_school.edu,A
DarWun,WunWeg,SBR74322,wunweg.darwun@project_school.edu,A
Daxos,Xaro,SKR62062,xaro.daxos@project_school.edu,D
Dondarrion,Beric,JTY40106,beric.dondarrion@project_school.edu,E
Drogo,Khal,CXG21963,khal.drogo@project_school.edu,A
Duur,Mirri,DJD31335,mirri.duur@project_school.edu,D
Ebrose,Archmaester,TSW14969,archmaester.ebrose@project_school.edu,C
Florent,Selyse,JLH15029,selyse.florent@project_school.edu,E
Forel,Syrio,SMG03171,syrio.forel@project_school.edu,C
Foster,Jane,NXE44872,jane.foster@project_school.edu,A
Frey,Lothar,KSB85997,lothar.frey@project_school.edu,D
Fury,Nick,MAT59156,nick.fury@project_school.edu,A
Giantsbane,Tormund,WAD63934,tormund.giantsbane@project_school.edu,D
Glover,Robett,MSL77920,robett.glover@project_school.edu,E
Greenhands,Lommy,THH29195,lommy.greenhands@project_school.edu,A
Greyjoy,Euron,JXM83777,euron.greyjoy@project_school.edu,C
Greyjoy,Theon,TXT65366,theon.greyjoy@project_school.edu,C
Greyjoy,Yara,CJS43553,yara.greyjoy@project_school.edu,B
Halfhand,Qhorin,AMC28428,qhorin.halfhand@project_school.edu,E
H'ghar,Jaqen,LMB95641,jaqen.h'ghar@project_school.edu,E
Hill,Maria,JXP06435,maria.hill@project_school.edu,E
Hogan,Happy,MXS29840,happy.hogan@project_school.edu,D
Hollard,Dontos,TXR84689,dontos.hollard@project_school.edu,B
Hotah,Areo,AES07091,areo.hotah@project_school.edu,D
Karstark,Alys,JSR21334,alys.karstark@project_school.edu,E
Karstark,Harald,AXM26865,harald.karstark@project_school.edu,A
Karstark,Rickard,DSG54218,rickard.karstark@project_school.edu,E
King,Night,ASM59771,night.king@project_school.edu,D
King,Silk,CXD92501,silk.king@project_school.edu,B
King,Spice,KXF45205,spice.king@project_school.edu,A
Lang,Scott,JXW53347,scott.lang@project_school.edu,C
Lannister,Alton,LBA53221,alton.lannister@project_school.edu,A
Lannister,Cersei,KXW26270,cersei.lannister@project_school.edu,B
Lannister,Jaime,BXT62105,jaime.lannister@project_school.edu,E
Lannister,Kevan,AXD11293,kevan.lannister@project_school.edu,B
Lannister,Lancel,LCR30757,lancel.lannister@project_school.edu,A
Lannister,Tyrion,JXW87000,tyrion.lannister@project_school.edu,E
Lannister,Tywin,BXS54690,tywin.lannister@project_school.edu,D
Loraq,Hizdahr,JGC21028,hizdahr.loraq@project_school.edu,C
Lorch,Amory,LLF55044,amory.lorch@project_school.edu,C
Lorren,Black,DJB29817,black.lorren@project_school.edu,D
Luwin,Maester,AXC64717,maester.luwin@project_school.edu,C
